symbol,price,trailing_eps_ttm,base_q_eps,next_q_eps_est,next_year_eps_est,avg_payout_ratio,est_dividend,est_yield_%
1907.TW,24.15,1.2,0.3,0.288,1.15,0.933,1.08,4.46
1446.TW,15.35,2.82,0.705,0.682,2.73,0.248,0.68,4.41
3021.TW,16.6,0.39,0.098,0.156,0.63,1.171,0.73,4.41
2849.TW,13.45,0.69,0.172,0.195,0.78,0.759,0.59,4.4
2480.TW,143.5,7.88,1.97,2.042,8.17,0.768,6.27,4.37
2897.TW,9.79,0.66,0.165,0.191,0.76,0.552,0.42,4.3
1725.TW,28.2,1.61,0.403,0.456,1.82,0.657,1.2,4.25
3028.TW,53.8,2.87,0.718,0.666,2.66,0.859,2.29,4.25
1232.TW,152.0,8.04,2.01,2.047,8.19,0.786,6.44,4.24
2882.TW,73.6,5.35,1.337,1.696,6.78,0.46,3.12,4.24
2010.TW,22.7,2.22,0.555,0.55,2.2,0.432,0.95,4.19
1402.TW,27.9,1.66,0.415,0.338,1.35,0.861,1.16,4.17
1219.TW,13.35,0.42,0.105,0.084,0.33,1.643,0.55,4.11
3045.TW,107.5,4.58,1.145,1.163,4.65,0.948,4.41,4.1
1714.TW,9.75,0.43,0.107,0.124,0.5,0.802,0.4,4.08
2886.TW,39.3,2.28,0.57,0.633,2.53,0.625,1.58,4.03
1414.TW,20.5,0.13,0.033,0.049,0.19,4.246,0.82,4.02
1568.TW,21.8,1.14,0.285,0.293,1.17,0.744,0.87,4.0
2912.TW,220.0,10.76,2.69,2.626,10.51,0.836,8.79,3.99
2027.TW,36.35,2.61,0.652,0.683,2.73,0.523,1.43,3.94
2855.TW,30.3,2.14,0.535,0.555,2.22,0.536,1.19,3.93
2618.TW,34.05,4.77,1.192,1.142,4.57,0.293,1.34,3.93
2883.TW,20.3,1.35,0.338,0.374,1.5,0.532,0.8,3.92
3008.TW,2360.0,157.2,39.3,41.162,164.65,0.56,92.2,3.91
2362.TW,38.0,2.36,0.59,0.525,2.1,0.706,1.48,3.9
2376.TW,218.0,17.08,4.27,4.588,18.35,0.463,8.5,3.9
2453.TW,51.1,3.17,0.792,0.733,2.93,0.669,1.96,3.84
1720.TW,64.5,5.18,1.295,1.303,5.21,0.475,2.47,3.84
2617.TW,32.2,3.09,0.772,0.579,2.32,0.531,1.23,3.82
1216.TW,71.2,3.47,0.868,0.81,3.24,0.839,2.72,3.82
1210.TW,50.4,3.92,0.98,0.891,3.56,0.538,1.92,3.81
1225.TW,31.5,1.4,0.35,0.374,1.5,0.8,1.2,3.8
1475.TW,29.75,3.43,0.858,0.477,1.91,0.593,1.13,3.8
2471.TW,48.8,3.19,0.797,0.569,2.27,0.81,1.84,3.78
3005.TW,123.5,7.96,1.99,2.117,8.47,0.551,4.67,3.78
2501.TW,22.75,2.43,0.608,0.636,2.54,0.337,0.86,3.77
2032.TW,15.25,0.49,0.122,0.123,0.49,1.166,0.57,3.76
2356.TW,41.9,2.5,0.625,0.615,2.46,0.636,1.57,3.74
1702.TW,37.5,1.8,0.45,0.28,1.12,1.244,1.39,3.72
2606.TW,66.2,3.84,0.96,0.919,3.67,0.667,2.45,3.7
3023.TW,234.0,12.98,3.245,3.355,13.42,0.64,8.59,3.67
2030.TW,15.65,0.31,0.077,0.043,0.17,3.362,0.57,3.66
2610.TW,18.9,2.43,0.608,0.603,2.41,0.286,0.69,3.65
2228.TW,93.6,6.61,1.653,1.349,5.39,0.634,3.42,3.65
2206.TW,60.0,5.92,1.48,1.551,6.2,0.353,2.19,3.65
1342.TW,97.4,5.59,1.397,1.291,5.16,0.688,3.55,3.64
2441.TW,88.1,4.16,1.04,0.964,3.86,0.832,3.21,3.64
1521.TW,25.5,0.63,0.158,0.17,0.68,1.365,0.93,3.63
2008.TW,29.0,0.6,0.15,0.228,0.91,1.126,1.03,3.54
1525.TW,62.1,3.86,0.965,0.828,3.31,0.663,2.2,3.54
2889.TW,16.2,0.59,0.147,0.157,0.63,0.913,0.57,3.53
2412.TW,137.0,4.93,1.232,1.264,5.05,0.948,4.79,3.5
2908.TW,20.2,0.13,0.033,0.022,0.09,7.866,0.71,3.49
1220.TW,12.9,0.25,0.062,0.043,0.17,2.64,0.45,3.48
2633.TW,26.6,1.13,0.282,0.287,1.15,0.805,0.92,3.47
2850.TW,117.5,11.01,2.752,2.821,11.29,0.36,4.07,3.46
